Key,type,synonym,description,unit,show
NYHA,String,NYHA,NYHA,,+
Diabetes,String,Diabetes,Diabetes,,+
Gender,String,Gender,Gender,,+
Jitter_rel,Double,Jitter_rel,Pitch local perturbation measures:relative jitter,m,
Jitter_abs,Double,Jitter_abs,Pitch local perturbation measures:absolute jitter,s,
Jitter_RAP,Double,Jitter_RAP,Pitch local perturbation measures:relative average perturbation,m,
Jitter_PPQ,Double,Jitter_PPQ,Pitch local perturbation measures:and pitch perturbation quotient,m,
Shim_loc,Double,Shim_loc,Amplitude perturbation measures:local shimmer,m,
Shim_dB,Double,Shim_dB,Amplitude perturbation measures:shimmer in dB,m,
Shim_APQ3,Double,Shim_APQ3,Amplitude perturbation measures:3-point amplitude perturbation quotient,m,
Shim_APQ5,Double,Shim_APQ5,Amplitude perturbation measures:5-point amplitude perturbation quotient,m,
Shi_APQ11,Double,Shi_APQ11,Amplitude perturbation measures:11-point amplitude perturbation quotient,m,
HNR05,Double,HNR05,Harmonic-to-noise ratio measures:Harmonic-to-noise ratio measures: harmonic-to-noise ratio in the frequency band 0-500 Hz,m,
HNR15,Double,HNR15,Harmonic-to-noise ratio measures:Harmonic-to-noise ratio measures: harmonic-to-noise ratio in the frequency band 0-1500 Hz,m,
HNR25,Double,HNR25,Harmonic-to-noise ratio measures:Harmonic-to-noise ratio measures: harmonic-to-noise ratio in the frequency band 0-2500 Hz,m,
HNR35,Double,HNR35,Harmonic-to-noise ratio measures:Harmonic-to-noise ratio measures: harmonic-to-noise ratio in the frequency band 0-3500 Hz,m,
HNR38,Double,HNR38,Harmonic-to-noise ratio measures:Harmonic-to-noise ratio measures: harmonic-to-noise ratio in the frequency band 0-3800 Hz,m,
RPDE,Double,RPDE,Recurrence period density entropy,m,
DFA,Double,DFA,Detrended fluctuation analysis,m,
PPE,Double,PPE,Pitch period entropy,m,
GNE,Double,GNE,Glottal-to-noise excitation ratio,m,
MFCC0,Double,MFCC0,,s,
MFCC1,Double,MFCC1,,s,
MFCC2,Double,MFCC2,,s,
MFCC3,Double,MFCC3,,s,
MFCC4,Double,MFCC4,,s,
MFCC5,Double,MFCC5,,s,
MFCC6,Double,MFCC6,,s,
MFCC7,Double,MFCC7,,s,
MFCC8,Double,MFCC8,,s,
MFCC9,Double,MFCC9,,s,
MFCC10,Double,MFCC10,,s,
MFCC11,Double,MFCC11,,s,
MFCC12,Double,MFCC12,,s,
Delta0,Double,Delta0,,s,
Delta1,Double,Delta1,,s,
Delta2,Double,Delta2,,s,
Delta3,Double,Delta3,,s,
Delta4,Double,Delta4,,s,
Delta5,Double,Delta5,,s,
Delta6,Double,Delta6,,s,
Delta7,Double,Delta7,,s,
Delta8,Double,Delta8,,s,
Delta9,Double,Delta9,,s,
Delta10,Double,Delta10,,s,
Delta11,Double,Delta11,,s,
Delta12,Double,Delta12,,s,
